Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0670.1,NFIA,0.01,4,0.4,8949,0.7,Down,75098,0.438858750843854,10,4,13159,6303,Down,0.755992661437966,-1.142136043656241,-0.160512755360414,-0.121482420256023
MA0820.1,FIGLA,0.14,19,1.9,37967,2.9,Down,81260.5,0.198123508998391,10,6,13159,11315,Down,0.040210395423487,-0.454841022196946,-0.474073364881444,-1.395661656084007
MA0004.1,Arnt,0.1,15,1.5,8613,0.7,Up,100023.5,0.004396395230837,10,9,13159,4988,Up,0.001069717635587,-0.771908302054634,1.255036785438919,2.970730844267721
MA1466.1,ATF6,0.15,0,0,234,0,Down,66920,0.925416128466536,10,0,13159,225,Down,0.999999999983551,-5.129575426731647,1.474516007905773,0.000000000007144
MA0488.1,JUN,0.04,5,0.5,154,0,Up,97962.5,0.00743458383741,10,5,13159,138,Up,3.395522892563649E-8,-3.751480346016095,5.637189083749263,7.46909333718058
MA0741.1,KLF16,0.15,0,0,21264,1.6,Down,98250,0.006920463816995,10,0,13159,6491,Down,0.001964160178001,-2.705899154873105,-3.372836535811311,-2.706823098226643
MA0077.1,SOX9,0.1,22,2.2,17181,1.3,Up,95584,0.013182366285559,10,10,13159,8888,Up,0.036532811734016,-0.28304639756078,0.56609279512156,1.437316901191453
MA0608.1,Creb3l2,0.14,14,1.4,5469,0.4,Up,102618.5,0.00218282555499,10,8,13159,2845,Up,1.415217778678164E-4,-1.257102585667851,1.904496008278861,3.849176724238156
MA1127.1,FOSB,0.06,0,0,254,0,Down,66525,0.951562447202987,10,0,13159,146,Down,0.99999999997866,-5.440688811148213,2.096742776738906,0.000000000009268
MA0752.1,ZNF410,0.07,0,0,5,0,Down,65820,0.998340160677709,10,0,13159,5,Down,0.999999999982078,-7.808351429040688,6.832068012523857,0.000000000007783
MA1566.1,TBX3,0.04,1,0.1,5339,0.4,Down,80489.5,0.221420483017386,10,1,13159,4157,Down,0.186106947191573,-2.234835713911444,-1.145038416292322,-0.730237414775461
MA0607.1,Bhlha15,0.15,6,0.6,47425,3.6,Down,110535,1.969415145297582E-4,10,3,13159,10886,Down,3.402114783275596E-4,-0.929263485838326,-1.311398029765661,-3.468251037900916
MA0657.1,KLF13,0.03,0,0,1,0,Down,65800,0.999668031905679,10,0,13159,1,Down,0.999999999983002,-8.745585987998759,8.706537130439997,0.000000000007382
MA0624.1,NFATC1,0.01,3,0.3,15449,1.2,Down,96428.5,0.010800852768235,10,3,13159,8767,Down,0.019865595919039,-1.085414872260448,-0.999095256921417,-1.701898402646454
MA0839.1,CREB3L1,0.11,1,0.1,133,0,Up,71714,0.622343161623418,10,1,13159,132,Up,0.09655775766359,-4.720661713273478,3.826613582431748,1.015212828304628
MA1643.1,NFIB,0.06,0,0,8,0,Down,65830,0.997676226557829,10,0,13159,7,Down,0.999999999970023,-7.584621940555078,6.384609035552636,0.000000000013019
MA1151.1,RORC,0.15,3,0.3,12263,0.9,Down,88843,0.055127288960432,10,3,13159,7579,Down,0.108433398679475,-1.19044629466098,-0.789032412120352,-0.964836929715149
MA0160.1,NR4A2,0.08,1,0.1,7043,0.5,Down,86387,0.086620076359119,10,1,13159,5295,Down,0.057741236797616,-2.060310390861588,-1.494089062392032,-1.23851391791586
MA0598.3,EHF,0.15,8,0.8,19155,1.5,Down,83794,0.134202392183792,10,5,13159,9612,Down,0.146302563094701,-0.693003440172413,-0.4797647279381,-0.834748065343353
MA1493.1,HES6,0,0,0,12,0,Down,65850,0.99634836360489,10,0,13159,11,Down,0.999999999982881,-7.27628626033083,5.767937675104141,0.000000000007435
