txid	ODPE_1	RVG_11	RVG_4	Avg1DPE	Median1DPE
crovir-transcript-7673	288.8821876368162	347.2242885925399	281.42389305097845	305.8434564267782	288.8821876368162
crovir-transcript-7669	0.950429433899546	1.0691578408226954	0.7822598177151572	0.9339490308124662	0.950429433899546
crovir-transcript-7670	69.57543593536553	90.37415510403186	134.2106940078858	98.05342834909439	69.57543593536553
crovir-transcript-7623	4.430377139517506	4.461708571197869	12.710529083696262	7.200871598137212	4.430377139517506
crovir-transcript-7622	0	0	0	0	0
crovir-transcript-7628	0.3928468316391687	0	0	0.13094894387972292	0.3928468316391687
crovir-transcript-7627	4.548767175813589	3.979891081095386	6.150701541690419	4.8931199328664645	4.548767175813589
crovir-transcript-7660	8.73148496230307	39.64287045880866	27.774968091846173	25.383107837652634	8.73148496230307
crovir-transcript-7659	3.861238426436631	12.330183662469022	9.534084993221049	8.575169027375567	3.861238426436631
crovir-transcript-7658	8.036650079100928	21.712881649853387	17.89344887575692	15.880993534903745	8.036650079100928
crovir-transcript-7656	1.225991578301493	0.9534818770089099	0.6727092086697085	0.9507275546600371	1.225991578301493
crovir-transcript-7657	13.958557324218619	23.878150086567974	21.090608088668105	19.642438499818233	13.958557324218619
crovir-transcript-7654	0.629773676483766	0.23614850303114673	0.3887558274684582	0.41822600232779034	0.629773676483766
crovir-transcript-7651	19.28626315965961	40.76682541817535	35.632190337388714	31.895092971741224	19.28626315965961
crovir-transcript-7652	2.384669722425122	4.222555351337418	5.070372078752799	3.8925323841717794	2.384669722425122
crovir-transcript-7653	18.903168169668206	15.204716367520996	18.13806492066886	17.415316485952687	18.903168169668206
crovir-transcript-7655	126.83950704678931	123.60396813679075	73.75169266261463	108.06505594873157	126.83950704678931
crovir-transcript-7629	0	0	0.5456657940398594	0.18188859801328647	0
crovir-transcript-7630	278.229810710761	450.5864899841823	349.4331112056212	359.4164706335215	278.229810710761
crovir-transcript-7631	64.50625721512716	92.9976229855187	71.70575181635104	76.4032106723323	64.50625721512716
crovir-transcript-7665	0.09051050875315536	0	0.3724775956698372	0.1543293681409975	0.09051050875315536
crovir-transcript-7666	0.7162588682494114	0.9208394289794419	0.9263941463901559	0.8544974812063364	0.7162588682494114
crovir-transcript-7667	6.136671974630694	16.874659897322065	22.728803192156445	15.2467116880364	6.136671974630694
crovir-transcript-7668	5.4212418734644645	10.901685721273953	4.067136143815743	6.796687912851387	5.4212418734644645
crovir-transcript-7690	0	0	0	0	0
crovir-transcript-7691	22.267100549922013	32.33239629743113	69.01924807215127	41.20624830650147	22.267100549922013
crovir-transcript-7689	22.852710738859095	41.17592792653846	39.450958935768455	34.49319920038867	22.852710738859095
crovir-transcript-7684	0	0	0.2600914622352426	0.0866971540784142	0
crovir-transcript-7683	0	0	0	0	0
crovir-transcript-7682	0	0	0	0	0
