Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0145.2,Tcfcp2l1,0.06,1,0.3,800,0.1,Up,31311,0.505297031273662,4,1,13130,743,Up,0.208072795923123,-2.86370390114247,2.557482800842628,0.681784697072258
MA0833.2,ATF4,0.1,1,0.3,2507,0.2,Up,28235,0.794490791714149,4,1,13130,2234,Up,0.525847690763707,-2.069930202471175,0.969935403500036,0.279140028925211
MA0628.1,POU6F1,0.02,0,0,6812,0.5,Down,31830,0.462565108179701,4,0,13130,2785,Down,0.584984023843552,-2.703419317200969,-0.933011368482687,-0.232855994518386
MA0442.2,SOX10,0.02,1,0.3,10293,0.8,Down,34799.5,0.260047792594019,4,1,13130,6918,Down,0.350367239323364,-1.254676584312519,-0.660571832817275,-0.455476508800308
MA0820.1,FIGLA,0.1,11,2.8,14864,1.1,Up,42878.5,0.028392447441826,4,4,13130,6817,Up,0.126065178650581,-0.472803576906789,0.945607153813578,0.899404856395112
MA0670.1,NFIA,0.01,0,0,8923,0.7,Down,38834,0.097238764880634,4,0,13130,6287,Down,0.126306770202735,-2.116144227739132,-2.107561547406362,-0.898573370086896
MA0004.1,Arnt,0.08,0,0,5778,0.4,Down,32812,0.387507702482731,4,0,13130,3276,Down,0.578062118497469,-2.586309709334187,-1.167230584216251,-0.238025489830143
MA1466.1,ATF6,0.13,0,0,136,0,Down,26520,0.972644697171667,4,0,13130,130,Down,0.999999999955486,-4.911326619244315,3.482803235604006,0.000000000019332
MA0488.1,JUN,0.04,0,0,153,0,Down,26534,0.971172344048878,4,0,13130,137,Down,0.999999999979103,-4.873635713323248,3.407421423761869,0.000000000009075
MA0741.1,KLF16,0.06,2,0.5,1420,0.1,Up,30911.5,0.539553547972424,4,1,13130,1206,Up,0.319987732140099,-2.514492267060804,1.859059532679295,0.494866671573812
MA0077.1,SOX9,0.14,5,1.3,35363,2.7,Down,37303.5,0.145245674321154,4,2,13130,11294,Down,0.096701147646103,-0.532649177813303,-0.630695457483293,-1.014568371693502
MA0608.1,Creb3l2,0,0,0,47,0,Down,26352,0.990318771788506,4,0,13130,46,Down,0.999999999975985,-5.655700211975243,4.971550421065859,0.00000000001043
MA1127.1,FOSB,0.02,0,0,35,0,Down,26302,0.995580223009833,4,0,13130,21,Down,0.999999999970117,-6.212147240178209,6.084444477471793,0.000000000012978
MA0752.1,ZNF410,0.08,0,0,6,0,Down,26272,0.998737200643311,4,0,13130,6,Down,0.999999999981179,-7.075059758458711,7.810269514032799,0.000000000008174
MA1566.1,TBX3,0.15,42,10.5,127211,9.7,Up,29326,0.685936243072566,4,3,13130,12923,Down,0.061864942825262,-0.192747546693309,-0.339645065382797,-1.208555384106863
MA0607.1,Bhlha15,0.03,1,0.3,1629,0.1,Up,30324.5,0.591911153768749,4,1,13130,1145,Up,0.305967321412485,-2.551917495516342,1.933909989590372,0.514324955505664
MA0657.1,KLF13,0.08,0,0,26,0,Down,26312,0.994527910067675,4,0,13130,26,Down,0.999999999970576,-6.061319390247658,5.782788777610691,0.000000000012779
MA0624.1,NFATC1,0.07,13,3.3,88691,6.8,Down,42186.5,0.035680254189003,4,3,13130,12876,Down,0.075436815642418,-0.195375714985166,-0.334388728799084,-1.12241665243025
MA0839.1,CREB3L1,0.13,0,0,196,0,Down,26646,0.959397476744954,4,0,13130,193,Down,0.999999999973869,-4.627184739457054,2.914519476029481,0.000000000011349
MA1643.1,NFIB,0.15,0,0,502,0,Down,26870,0.935876855101444,4,0,13130,305,Down,0.999999999978246,-4.297765332619893,2.255680662355161,0.000000000009448
MA1151.1,RORC,0.1,0,0,3821,0.3,Down,32718,0.394353816451996,4,0,13130,3229,Down,0.578138108721746,-2.596732065085063,-1.1463858727145,-0.237968402598446
MA0160.1,NR4A2,0.11,1,0.3,15341,1.2,Down,39205,0.087762333124184,4,1,13130,8696,Down,0.115110434732014,-1.089688780023969,-0.990547441394375,-0.938885305899949
MA0598.3,EHF,0.04,2,0.5,866,0.1,Up,37698,0.131410614367313,4,2,13130,829,Up,0.022020471883703,-2.416266484607645,3.13653915610539,1.657173378629816
MA1493.1,HES6,0.12,0,0,484,0,Down,27178,0.90363131499524,4,0,13130,459,Down,0.99999999997574,-4.003319091884741,1.666788180884856,0.000000000010536
