Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0145.2,Tcfcp2l1,0.04,2,0.1,7,0,Up,7360,0.442862847076367,17,2,781,7,Up,0.014094644133124,-4.755283194724375,3.895856545333542,1.850945884884358
MA0833.2,ATF4,0.09,8,0.5,69,0.1,Up,9189.5,0.006664201866385,17,8,781,66,Up,4.645265545711798E-5,-2.298319901596551,2.512999451803848,4.332989454600157
MA0628.1,POU6F1,0.03,12,0.7,152,0.2,Up,8029,0.139167553106068,17,5,781,68,Up,0.014431074409683,-2.590960689173404,1.842218581731469,1.840701333991296
MA0442.2,SOX10,0.01,9,0.5,94,0.1,Up,8728,0.026260638180647,17,7,781,80,Up,0.001132363635641,-2.250788803110748,2.0567927635486,2.946014085875479
MA0820.1,FIGLA,0.01,4,0.2,25,0,Up,7616.5,0.298258939009648,17,3,781,24,Up,0.017128357933801,-3.658660156885909,2.673464123997094,1.766284270103491
MA0670.1,NFIA,0.01,20,1.2,371,0.5,Up,8965,0.013345931407801,17,11,781,275,Up,0.018913320169914,-1.05495730765823,0.898472493540553,1.72323222552291
MA0004.1,Arnt,0.08,8,0.5,345,0.4,Up,6681,0.963946421662391,17,4,781,189,Down,0.999999999996915,-2.001703020165614,0.084690009325918,0.00000000000134
MA1466.1,ATF6,0.13,0,0,15,0,Down,6766,0.892133123641838,17,0,781,15,Down,0.999999999997254,-5.392594384778878,0.526622735667823,0.000000000001193
MA0488.1,JUN,0.1,6,0.4,75,0.1,Up,8410.5,0.05947695197816,17,6,781,64,Up,0.002097946836656,-2.513859053190142,2.170031508772536,2.67820552130901
MA0741.1,KLF16,0.06,0,0,55,0.1,Down,7063.5,0.651255673009858,17,0,781,50,Down,0.617909099520384,-4.540586798596419,-1.177392436697096,-0.209075409183557
MA0077.1,SOX9,0.1,26,1.5,368,0.5,Up,9674,0.001244519254297,17,12,781,249,Up,0.002484653542766,-1.066316442416323,1.161779230492162,2.604734160232336
MA0608.1,Creb3l2,0.09,5,0.3,134,0.2,Up,7453,0.386336569512903,17,4,781,82,Up,0.100366382665746,-2.601568932128252,1.284421833251195,0.998411728103021
MA1127.1,FOSB,0.05,1,0.1,23,0,Up,6914.5,0.769104755997189,17,1,781,13,Up,0.26212373515699,-4.699767538530003,2.310894044612386,0.581493652151455
MA0752.1,ZNF410,0,0,0,0,0,Up,6638.5,1,17,0,781,0,Up,1,-7.869692539972315,5.480819046054699,-0
MA1566.1,TBX3,0.05,15,0.9,417,0.5,Up,7851,0.19719578703851,17,9,781,297,Up,0.218066143604404,-1.13735585415287,0.512000701302977,0.661411756645741
MA0607.1,Bhlha15,0.1,13,0.8,295,0.4,Up,8278.5,0.081113845576641,17,8,781,174,Up,0.034296329601579,-1.602419506242319,1.121198661095385,1.46475235573199
MA0657.1,KLF13,0.14,0,0,17,0,Down,6766,0.892133123641838,17,0,781,15,Down,0.999999999997254,-5.392594384778878,0.526622735667823,0.000000000001193
MA0624.1,NFATC1,0.06,99,5.8,2945,3.8,Up,8522,0.045151585208841,17,17,781,698,Up,0.241970989984687,-0.080992878795101,0.161985757590201,0.616236698667434
MA0839.1,CREB3L1,0.14,3,0.2,28,0,Up,7572,0.320785357002321,17,3,781,28,Up,0.024957223986052,-3.549570071861143,2.455283953947561,1.602803723259937
MA1643.1,NFIB,0.07,1,0.1,3,0,Up,7003.5,0.69786499773413,17,1,781,3,Up,0.082679113483013,-5.673533828582936,4.258426624718251,1.082604188690852
MA1151.1,RORC,0.06,6,0.4,31,0,Up,8718,0.026987413715357,17,6,781,31,Up,5.612277105785225E-5,-3.030832719151811,3.203978840695874,4.250860893854948
MA0160.1,NR4A2,0,2,0.1,21,0,Up,7248.5,0.51648093671361,17,2,781,20,Up,0.076851856192846,-4.029952490219593,2.445195136323977,1.114345638579656
MA0598.3,EHF,0.14,19,1.1,603,0.8,Up,7605.5,0.303726455470232,17,11,781,396,Up,0.328746096114574,-0.79232303409182,0.373203946407733,0.48313939575227
MA1493.1,HES6,0.02,1,0.1,2,0,Up,7012,0.691187190788908,17,1,781,2,Up,0.062634826759586,-5.916247242168057,4.743853451888493,1.203184119445403
